Id,SalePrice
1461,117041.4792
1462,157944.0144
1463,184712.6149
1464,198680.4869
1465,197497.8509
1466,170056.7946
1467,181536.7414
1468,161924.7858
1469,192956.2221
1470,120485.1157
1471,185770.3447
1472,99430.02368
1473,98153.95923
1474,144978.9896
1475,117192.422
1476,366440.0695
1477,248583.009
1478,296463.8685
1479,290787.8323
1480,516230.2289
1481,326519.9962
1482,210307.3137
1483,177948.315
1484,162303.7087
1485,186369.8751
1486,194997.2791
1487,331384.9576
1488,244971.9337
1489,196228.3009
1490,236845.3536
1491,193965.165
1492,90776.55406
1493,183977.365
1494,299104.075
1495,294712.1386
1496,234971.519
1497,179746.9624
1498,160615.5552
1499,160790.2133
1500,154385.3402
1501,171628.2445
1502,149168.9383
1503,288083.1848
1504,245684.2909
1505,226493.3569
1506,188362.9242
1507,253962.9076
1508,200379.9868
1509,162498.814
1510,142811.8258
1511,148015.9905
1512,173729.4349
1513,141231.4922
1514,155013.2216
1515,200940.5397
1516,155460.6799
1517,170157.8725
1518,133134.8047
1519,214290.454
1520,127828.8673
1521,131584.9215
1522,172646.5798
1523,111574.842
1524,124122.8108
1525,123747.8807
1526,114904.075
1527,108457.5568
1528,143059.9013
1529,149422.2878
1530,171336.2184
1531,110107.3188
1532,96298.32635
1533,139354.324
1534,127628.6926
1535,155358.2679
1536,112142.4664
1537,65816.69638
1538,158914.0251
1539,204378.0344
1540,84756.4189
1541,134385.42
1542,143741.412
1543,189738.579
1544,87386.0337
1545,116049.667
1546,132078.9382
1547,126132.6814
1548,138178.034
1549,120701.3311
1550,132037.0422
1551,109631.2313
1552,133017.1613
1553,142540.4811
1554,120340.2868
1555,165258.9024
1556,86430.11613
1557,109729.5563
1558,102938.8829
1559,81578.58989
1560,132255.3372
1561,119680.5702
1562,132032.7972
1563,120569.4342
1564,167412.6982
1565,153563.9876
1566,236007.46
1567,78312.94666
1568,231751.4697
1569,133031.7771
1570,140397.9904
1571,122114.0291
1572,143378.3973
1573,236682.8559
1574,119656.6931
1575,226513.5053
1576,243049.3683
1577,177569.7002
1578,148025.1669
1579,150043.1067
1580,196448.3425
1581,156797.6151
1582,124389.8111
1583,296565.7198
1584,219944.9691
1585,139449.173
1586,78019.0415
1587,101213.2854
1588,150637.8422
1589,99738.86584
1590,135118.8676
1591,93358.51377
1592,118426.904
1593,117034.9229
1594,131749.8364
1595,109709.5524
1596,240711.5509
1597,201282.7237
1598,225140.3673
1599,167826.0586
1600,163056.5418
1601,64569.17333
1602,107376.9073
